,Unnamed: 0.1,Unnamed: 0,发车号,if_loaded,SKU长度,SKU宽度,SKU高度,load_parameter,车辆总容积(m3)
0,0,0,0,1,51,12,26,0.64,45000
1,1,1,1,1,41,18,27,0.7100000000000001,45000
2,2,2,2,0,43,14,17,0.6900000000000001,45000
3,3,3,2,0,43,14,17,0.6900000000000001,45000
4,4,4,2,0,43,14,17,0.6900000000000001,45000
5,5,5,3,0,45,16,16,0.66,45000
6,6,6,3,0,45,16,16,0.66,45000
7,7,7,4,0,50,19,20,0.8900000000000002,45000
8,8,8,4,0,50,19,20,0.8900000000000002,45000
9,9,9,5,0,31,18,22,0.9500000000000004,45000
10,10,10,5,0,31,18,22,0.9500000000000004,45000
11,11,11,5,0,31,18,22,0.9500000000000004,45000
12,12,12,6,1,39,21,19,0.63,45000
13,13,13,7,0,33,16,27,0.8000000000000002,45000
14,14,14,7,0,33,16,27,0.8000000000000002,45000
15,15,15,8,1,46,12,13,0.62,45000
16,16,16,8,1,48,21,13,0.62,45000
17,17,17,9,0,46,10,18,0.8500000000000002,45000
18,18,18,9,0,46,10,18,0.8500000000000002,45000
19,19,19,9,0,46,10,18,0.8500000000000002,45000
20,20,20,9,0,46,10,18,0.8500000000000002,45000
21,21,21,10,1,42,22,21,0.8400000000000002,45000
22,22,22,11,1,26,10,15,0.6900000000000001,45000
23,23,23,11,1,26,10,15,0.6900000000000001,45000
24,24,24,11,1,26,10,15,0.6900000000000001,45000
25,25,25,11,1,26,10,15,0.6900000000000001,45000
26,26,26,11,1,26,10,15,0.6900000000000001,45000
27,27,27,11,1,26,10,15,0.6900000000000001,45000
28,28,28,11,1,26,10,15,0.6900000000000001,45000
29,29,29,12,1,48,22,19,0.7400000000000001,45000
30,30,30,13,0,27,18,18,1.0000000000000004,45000
31,31,31,13,0,27,18,18,1.0000000000000004,45000
32,32,32,13,0,27,18,18,1.0000000000000004,45000
33,33,33,13,0,27,18,18,1.0000000000000004,45000
34,34,34,13,0,27,18,18,1.0000000000000004,45000
35,35,35,14,0,37,19,14,0.7400000000000001,45000
36,36,36,14,0,37,19,14,0.7400000000000001,45000
37,37,37,14,0,37,19,14,0.7400000000000001,45000
38,38,38,15,0,43,22,22,0.9500000000000004,45000
39,39,39,15,0,43,22,22,0.9500000000000004,45000
40,40,40,16,1,52,18,19,0.61,45000
41,41,41,17,1,48,16,14,0.62,45000
42,42,42,17,1,48,16,14,0.62,45000
43,43,43,18,1,51,20,14,0.8000000000000002,45000
44,44,44,18,1,51,20,14,0.8000000000000002,45000
45,45,45,19,1,54,16,26,0.9300000000000004,45000
46,46,46,20,1,24,12,15,0.7200000000000001,45000
47,47,47,20,1,24,12,15,0.7200000000000001,45000
48,48,48,20,1,35,12,19,0.7200000000000001,45000
49,49,49,20,1,35,12,19,0.7200000000000001,45000
50,50,50,21,0,38,12,13,0.8900000000000002,45000
51,51,51,21,0,38,12,13,0.8900000000000002,45000
52,52,52,21,0,38,12,13,0.8900000000000002,45000
53,53,53,21,0,38,12,13,0.8900000000000002,45000
54,54,54,21,0,38,12,13,0.8900000000000002,45000
55,55,55,21,0,38,12,13,0.8900000000000002,45000
56,56,56,22,0,27,17,18,0.9800000000000004,45000
57,57,57,22,0,27,17,18,0.9800000000000004,45000
58,58,58,22,0,35,14,18,0.9800000000000004,45000
59,59,59,22,0,35,14,18,0.9800000000000004,45000
60,60,60,23,0,44,14,17,0.7600000000000001,45000
61,61,61,23,0,44,14,17,0.7600000000000001,45000
62,62,62,23,0,44,14,17,0.7600000000000001,45000
63,63,63,24,1,30,10,25,0.8800000000000002,45000
64,64,64,24,1,30,10,25,0.8800000000000002,45000
65,65,65,24,1,30,10,25,0.8800000000000002,45000
66,66,66,24,1,30,10,25,0.8800000000000002,45000
67,67,67,24,1,30,10,25,0.8800000000000002,45000
68,68,68,25,0,51,12,20,0.9100000000000004,45000
69,69,69,25,0,51,12,20,0.9100000000000004,45000
70,70,70,25,0,51,12,20,0.9100000000000004,45000
71,71,71,26,0,32,13,21,0.9700000000000004,45000
72,72,72,26,0,32,13,21,0.9700000000000004,45000
73,73,73,26,0,32,13,21,0.9700000000000004,45000
74,74,74,26,0,32,13,21,0.9700000000000004,45000
75,75,75,27,0,40,14,24,0.68,45000
76,76,76,27,0,40,14,24,0.68,45000
77,77,77,28,1,44,17,23,0.63,45000
78,78,78,29,0,45,16,17,0.7400000000000001,45000
79,79,79,29,0,45,16,17,0.7400000000000001,45000
80,80,80,30,1,40,19,26,0.62,45000
81,81,81,31,0,25,21,13,0.6900000000000001,45000
82,82,82,31,0,25,21,13,0.6900000000000001,45000
83,83,83,31,0,39,17,22,0.6900000000000001,45000
84,84,84,32,0,40,19,18,0.9000000000000002,45000
85,85,85,32,0,40,19,18,0.9000000000000002,45000
86,86,86,33,0,33,15,22,0.7900000000000001,45000
87,87,87,33,0,40,11,14,0.7900000000000001,45000
88,88,88,34,1,39,16,26,0.68,45000
89,89,89,35,0,38,18,19,1.0000000000000004,45000
90,90,90,35,0,38,18,19,1.0000000000000004,45000
91,91,91,35,0,38,18,19,1.0000000000000004,45000
92,92,92,36,0,31,22,25,0.9200000000000004,45000
93,93,93,36,0,31,22,25,0.9200000000000004,45000
94,94,94,37,1,44,21,26,0.62,45000
95,95,95,38,0,34,21,20,0.8500000000000002,45000
96,96,96,38,0,34,21,20,0.8500000000000002,45000
97,97,97,39,1,52,22,26,0.7600000000000001,45000
98,98,98,40,0,24,22,13,0.8100000000000002,45000
99,99,99,40,0,24,22,13,0.8100000000000002,45000
100,100,100,40,0,24,22,13,0.8100000000000002,45000
101,101,101,40,0,24,22,13,0.8100000000000002,45000
102,102,102,40,0,24,22,13,0.8100000000000002,45000
103,103,103,41,1,49,13,27,0.64,45000
104,104,104,42,0,33,12,16,0.8400000000000002,45000
105,105,105,42,0,33,12,16,0.8400000000000002,45000
106,106,106,42,0,33,12,16,0.8400000000000002,45000
107,107,107,42,0,33,12,16,0.8400000000000002,45000
108,108,108,42,0,33,12,16,0.8400000000000002,45000
109,109,109,43,0,36,15,12,0.7400000000000001,45000
110,110,110,43,0,36,15,12,0.7400000000000001,45000
111,111,111,43,0,36,15,12,0.7400000000000001,45000
112,112,112,43,0,36,15,12,0.7400000000000001,45000
113,113,113,43,0,36,15,12,0.7400000000000001,45000
114,114,114,44,0,43,14,24,0.7200000000000001,45000
115,115,115,44,0,43,14,24,0.7200000000000001,45000
116,116,116,45,0,27,14,24,0.8800000000000002,45000
117,117,117,45,0,27,14,24,0.8800000000000002,45000
118,118,118,45,0,27,14,24,0.8800000000000002,45000
119,119,119,45,0,27,14,24,0.8800000000000002,45000
120,120,120,46,0,36,13,19,0.8700000000000002,45000
121,121,121,46,0,36,13,19,0.8700000000000002,45000
122,122,122,46,0,36,13,19,0.8700000000000002,45000
123,123,123,46,0,36,13,19,0.8700000000000002,45000
124,124,124,47,0,50,18,12,0.9600000000000004,45000
125,125,125,47,0,50,18,12,0.9600000000000004,45000
126,126,126,47,0,50,18,12,0.9600000000000004,45000
127,127,127,47,0,50,18,12,0.9600000000000004,45000
128,128,128,48,0,30,13,20,0.8900000000000002,45000
129,129,129,48,0,30,13,20,0.8900000000000002,45000
130,130,130,48,0,30,13,20,0.8900000000000002,45000
131,131,131,48,0,27,14,18,0.8900000000000002,45000
132,132,132,48,0,27,14,18,0.8900000000000002,45000
133,133,133,49,0,32,18,24,0.62,45000
134,134,134,49,0,32,18,24,0.62,45000
135,135,135,50,0,39,18,22,0.8500000000000002,45000
136,136,136,50,0,34,10,18,0.8500000000000002,45000
137,137,137,51,1,53,16,26,0.8200000000000002,45000
138,138,138,52,0,30,14,18,0.9200000000000004,45000
139,139,139,52,0,30,14,18,0.9200000000000004,45000
140,140,140,52,0,30,14,18,0.9200000000000004,45000
141,141,141,52,0,30,14,18,0.9200000000000004,45000
142,142,142,52,0,30,14,18,0.9200000000000004,45000
143,143,143,53,0,27,14,12,0.7600000000000001,45000
144,144,144,53,0,27,14,12,0.7600000000000001,45000
145,145,145,53,0,27,14,12,0.7600000000000001,45000
146,146,146,53,0,51,17,22,0.7600000000000001,45000
147,147,147,54,0,25,19,19,0.7200000000000001,45000
148,148,148,54,0,24,15,27,0.7200000000000001,45000
149,149,149,54,0,48,13,17,0.7200000000000001,45000
150,150,150,55,0,36,10,23,0.6900000000000001,45000
151,151,151,55,0,36,10,23,0.6900000000000001,45000
152,152,152,55,0,36,10,23,0.6900000000000001,45000
153,153,153,56,0,48,11,23,0.9800000000000004,45000
154,154,154,56,0,48,11,23,0.9800000000000004,45000
155,155,155,56,0,48,11,23,0.9800000000000004,45000
156,156,156,57,1,28,12,15,0.63,45000
157,157,157,57,1,28,12,15,0.63,45000
158,158,158,57,1,28,12,15,0.63,45000
159,159,159,57,1,28,12,15,0.63,45000
160,160,160,57,1,28,12,15,0.63,45000
161,161,161,58,1,39,20,25,0.64,45000
162,162,162,59,0,33,13,27,0.7500000000000001,45000
163,163,163,59,0,33,13,27,0.7500000000000001,45000
164,164,164,60,0,37,21,22,0.7800000000000001,45000
165,165,165,60,0,37,21,22,0.7800000000000001,45000
166,166,166,61,1,43,19,21,0.7600000000000001,45000
167,167,167,62,1,38,21,23,0.8000000000000002,45000
168,168,168,63,0,53,17,22,0.9900000000000004,45000
169,169,169,63,0,53,17,22,0.9900000000000004,45000
170,170,170,64,0,52,13,19,0.7900000000000001,45000
171,171,171,64,0,52,13,19,0.7900000000000001,45000
172,172,172,65,1,30,11,19,0.66,45000
173,173,173,65,1,30,11,19,0.66,45000
174,174,174,65,1,30,11,19,0.66,45000
175,175,175,65,1,30,11,19,0.66,45000
176,176,176,66,1,36,21,15,0.7400000000000001,45000
177,177,177,66,1,36,21,15,0.7400000000000001,45000
178,178,178,67,0,44,10,25,0.7800000000000001,45000
179,179,179,67,0,44,10,25,0.7800000000000001,45000
180,180,180,67,0,44,10,25,0.7800000000000001,45000
181,181,181,68,0,38,13,18,0.8700000000000002,45000
182,182,182,68,0,38,13,18,0.8700000000000002,45000
183,183,183,68,0,38,13,18,0.8700000000000002,45000
184,184,184,68,0,38,13,18,0.8700000000000002,45000
185,185,185,69,1,50,11,27,0.9100000000000004,45000
186,186,186,69,1,50,11,27,0.9100000000000004,45000
187,187,187,70,0,32,21,14,0.8900000000000002,45000
188,188,188,70,0,32,21,14,0.8900000000000002,45000
189,189,189,70,0,32,21,14,0.8900000000000002,45000
190,190,190,70,0,32,21,14,0.8900000000000002,45000
191,191,191,71,1,29,18,17,0.67,45000
192,192,192,71,1,29,18,17,0.67,45000
193,193,193,71,1,29,18,17,0.67,45000
194,194,194,72,0,41,11,25,0.8400000000000002,45000
195,195,195,72,0,41,11,25,0.8400000000000002,45000
196,196,196,72,0,41,11,25,0.8400000000000002,45000
197,197,197,73,0,37,16,18,0.9400000000000004,45000
198,198,198,73,0,37,16,18,0.9400000000000004,45000
199,199,199,73,0,37,16,18,0.9400000000000004,45000
200,200,200,74,0,46,16,23,0.8800000000000002,45000
201,201,201,74,0,46,16,23,0.8800000000000002,45000
202,202,202,75,0,41,15,24,0.7200000000000001,45000
203,203,203,75,0,41,15,24,0.7200000000000001,45000
204,204,204,76,1,54,15,12,0.61,45000
205,205,205,76,1,54,15,12,0.61,45000
206,206,206,77,0,38,16,21,0.8400000000000002,45000
207,207,207,77,0,38,16,21,0.8400000000000002,45000
208,208,208,78,0,40,18,23,0.9800000000000004,45000
209,209,209,78,0,47,11,12,0.9800000000000004,45000
