,Unnamed: 0,发车号,if_loaded,SKU长度,SKU宽度,SKU高度,load_parameter,车辆总容积(m3)
0,0,0,1,26,15,21,0.9300000000000004,45000
1,1,0,1,43,22,24,0.9300000000000004,45000
2,2,1,1,50,20,18,0.7000000000000001,45000
3,3,2,0,24,19,24,0.67,45000
4,4,2,0,46,13,25,0.67,45000
5,5,3,0,31,21,23,0.7700000000000001,45000
6,6,3,0,51,11,26,0.7700000000000001,45000
7,7,4,1,40,22,23,0.7200000000000001,45000
8,8,5,1,48,20,18,0.7500000000000001,45000
9,9,6,0,31,15,25,0.8800000000000002,45000
10,10,6,0,31,15,25,0.8800000000000002,45000
11,11,7,0,25,16,21,0.9000000000000002,45000
12,12,7,0,25,16,21,0.9000000000000002,45000
13,13,7,0,28,11,16,0.9000000000000002,45000
14,14,7,0,27,21,15,0.9000000000000002,45000
15,15,7,0,28,11,16,0.9000000000000002,45000
16,16,8,0,47,18,16,0.7200000000000001,45000
17,17,8,0,38,18,19,0.7200000000000001,45000
18,18,9,0,45,13,12,0.68,45000
19,19,9,0,32,21,24,0.68,45000
20,20,10,0,25,20,13,0.9000000000000002,45000
21,21,10,0,37,17,22,0.9000000000000002,45000
22,22,10,0,25,20,13,0.9000000000000002,45000
23,23,10,0,33,16,17,0.9000000000000002,45000
24,24,11,0,32,19,21,0.9300000000000004,45000
25,25,11,0,40,21,18,0.9300000000000004,45000
26,26,11,0,32,19,21,0.9300000000000004,45000
27,27,12,1,24,20,23,0.8200000000000002,45000
28,28,12,1,40,19,17,0.8200000000000002,45000
29,29,13,0,37,18,21,0.7400000000000001,45000
30,30,13,0,40,12,22,0.7400000000000001,45000
31,31,14,0,32,20,17,0.7200000000000001,45000
32,32,14,0,32,20,17,0.7200000000000001,45000
33,33,14,0,24,10,21,0.7200000000000001,45000
34,34,15,0,45,20,12,0.8900000000000002,45000
35,35,15,0,45,20,12,0.8900000000000002,45000
36,36,15,0,54,13,16,0.8900000000000002,45000
37,37,16,1,44,19,20,0.8000000000000002,45000
38,38,17,0,50,10,19,0.9900000000000004,45000
39,39,17,0,33,20,15,0.9900000000000004,45000
40,40,17,0,49,20,23,0.9900000000000004,45000
41,41,18,0,26,12,15,0.9900000000000004,45000
42,42,18,0,46,11,24,0.9900000000000004,45000
43,43,18,0,41,19,18,0.9900000000000004,45000
44,44,18,0,46,11,24,0.9900000000000004,45000
45,45,19,0,46,15,23,0.9700000000000004,45000
46,46,19,0,46,15,23,0.9700000000000004,45000
47,47,19,0,53,15,13,0.9700000000000004,45000
48,48,20,0,26,22,13,0.66,45000
49,49,20,0,51,14,21,0.66,45000
50,50,21,1,39,16,22,0.65,45000
51,51,22,0,36,15,12,0.8200000000000002,45000
52,52,22,0,36,15,12,0.8200000000000002,45000
53,53,22,0,36,15,12,0.8200000000000002,45000
54,54,22,0,47,17,13,0.8200000000000002,45000
55,55,23,0,42,14,15,0.9500000000000004,45000
56,56,23,0,37,12,16,0.9500000000000004,45000
57,57,23,0,45,12,12,0.9500000000000004,45000
58,58,23,0,45,12,12,0.9500000000000004,45000
59,59,23,0,37,12,16,0.9500000000000004,45000
60,60,23,0,45,12,12,0.9500000000000004,45000
61,61,24,1,30,18,23,0.7300000000000001,45000
62,62,24,1,25,18,14,0.7300000000000001,45000
63,63,24,1,27,20,19,0.7300000000000001,45000
64,64,25,1,26,22,22,0.7700000000000001,45000
65,65,25,1,26,22,22,0.7700000000000001,45000
66,66,26,0,36,16,15,0.7900000000000001,45000
67,67,26,0,44,16,16,0.7900000000000001,45000
68,68,26,0,36,16,15,0.7900000000000001,45000
69,69,27,1,39,20,25,0.7800000000000001,45000
70,70,28,0,25,14,13,0.7500000000000001,45000
71,71,28,0,25,14,13,0.7500000000000001,45000
72,72,28,0,48,12,18,0.7500000000000001,45000
73,73,28,0,48,12,18,0.7500000000000001,45000
74,74,29,0,48,17,15,0.7800000000000001,45000
75,75,29,0,27,18,19,0.7800000000000001,45000
76,76,29,0,28,16,27,0.7800000000000001,45000
77,77,30,0,42,11,18,0.7900000000000001,45000
78,78,30,0,52,20,17,0.7900000000000001,45000
79,79,30,0,47,13,13,0.7900000000000001,45000
80,80,31,1,26,15,13,0.66,45000
81,81,31,1,28,20,27,0.66,45000
82,82,32,0,48,20,14,0.7300000000000001,45000
83,83,32,0,36,10,18,0.7300000000000001,45000
84,84,32,0,26,15,19,0.7300000000000001,45000
85,85,33,0,28,19,26,0.8900000000000002,45000
86,86,33,0,53,11,26,0.8900000000000002,45000
87,87,34,0,35,12,21,0.9700000000000004,45000
88,88,34,0,35,12,21,0.9700000000000004,45000
89,89,34,0,45,19,20,0.9700000000000004,45000
90,90,35,1,38,10,12,0.6900000000000001,45000
91,91,35,1,43,14,26,0.6900000000000001,45000
92,92,36,1,49,12,17,0.66,45000
