,发车号,if_loaded,SKU长度,SKU宽度,SKU高度,load_parameter,车辆总容积(m3)
0,0,0,28,11,6,0.7500000000000001,45000
1,0,0,28,11,6,0.7500000000000001,45000
2,0,0,29,15,18,0.7500000000000001,45000
3,0,0,29,15,18,0.7500000000000001,45000
4,0,0,28,11,6,0.7500000000000001,45000
5,0,0,16,7,17,0.7500000000000001,45000
6,0,0,16,7,17,0.7500000000000001,45000
7,0,0,28,11,6,0.7500000000000001,45000
8,0,0,28,11,6,0.7500000000000001,45000
9,0,0,28,11,6,0.7500000000000001,45000
10,0,0,16,7,17,0.7500000000000001,45000
11,1,0,35,5,8,0.61,45000
12,1,0,35,5,8,0.61,45000
13,1,0,35,5,8,0.61,45000
14,1,0,35,5,8,0.61,45000
15,1,0,35,5,8,0.61,45000
16,1,0,35,5,8,0.61,45000
17,1,0,35,5,8,0.61,45000
18,1,0,35,5,8,0.61,45000
19,1,0,35,5,8,0.61,45000
20,1,0,35,5,8,0.61,45000
21,1,0,35,5,8,0.61,45000
22,1,0,35,5,8,0.61,45000
23,1,0,35,5,8,0.61,45000
24,1,0,35,5,8,0.61,45000
25,1,0,35,5,8,0.61,45000
26,1,0,35,5,8,0.61,45000
27,1,0,12,12,10,0.61,45000
28,1,0,12,12,10,0.61,45000
29,1,0,12,12,10,0.61,45000
30,2,0,30,11,8,0.67,45000
31,2,0,25,5,8,0.67,45000
32,2,0,13,10,12,0.67,45000
33,2,0,36,9,14,0.67,45000
34,2,0,25,5,8,0.67,45000
35,2,0,36,9,14,0.67,45000
36,2,0,36,9,14,0.67,45000
37,2,0,36,8,9,0.67,45000
38,2,0,30,11,8,0.67,45000
39,2,0,30,11,8,0.67,45000
40,2,0,13,10,12,0.67,45000
41,3,0,34,10,13,0.9300000000000003,45000
42,3,0,34,10,13,0.9300000000000003,45000
43,3,0,21,11,17,0.9300000000000003,45000
44,3,0,34,14,18,0.9300000000000003,45000
45,3,0,34,10,13,0.9300000000000003,45000
46,3,0,23,13,7,0.9300000000000003,45000
47,3,0,34,14,18,0.9300000000000003,45000
48,3,0,34,10,13,0.9300000000000003,45000
49,4,0,31,15,7,0.64,45000
50,4,0,31,15,7,0.64,45000
51,4,0,26,11,18,0.64,45000
52,4,0,20,12,14,0.64,45000
53,4,0,26,11,18,0.64,45000
54,4,0,20,12,14,0.64,45000
55,4,0,26,11,18,0.64,45000
56,5,0,17,15,14,0.62,45000
57,5,0,29,10,8,0.62,45000
58,5,0,29,10,8,0.62,45000
59,5,0,21,11,6,0.62,45000
60,5,0,27,6,11,0.62,45000
61,5,0,29,10,8,0.62,45000
62,5,0,17,15,14,0.62,45000
63,5,0,17,15,14,0.62,45000
64,5,0,29,10,8,0.62,45000
65,5,0,17,15,14,0.62,45000
66,6,0,35,6,8,0.7800000000000001,45000
67,6,0,24,14,8,0.7800000000000001,45000
68,6,0,24,14,8,0.7800000000000001,45000
69,6,0,35,6,8,0.7800000000000001,45000
70,6,0,24,14,8,0.7800000000000001,45000
71,6,0,35,6,8,0.7800000000000001,45000
72,6,0,35,6,8,0.7800000000000001,45000
73,6,0,24,14,8,0.7800000000000001,45000
74,6,0,35,6,8,0.7800000000000001,45000
75,6,0,35,6,8,0.7800000000000001,45000
76,6,0,24,14,8,0.7800000000000001,45000
77,6,0,35,6,8,0.7800000000000001,45000
78,6,0,35,6,8,0.7800000000000001,45000
