l,w,h
24,10,12
24,10,13
24,10,14
24,10,15
24,10,16
24,10,17
24,10,18
24,10,19
24,10,20
24,10,21
24,10,22
24,10,23
24,10,24
24,10,25
24,10,26
24,10,27
24,11,12
24,11,13
24,11,14
24,11,15
24,11,16
24,11,17
24,11,18
24,11,19
24,11,20
24,11,21
24,11,22
24,11,23
24,11,24
24,11,25
24,11,26
24,11,27
24,12,12
24,12,13
24,12,14
24,12,15
24,12,16
24,12,17
24,12,18
24,12,19
24,12,20
24,12,21
24,12,22
24,12,23
24,12,24
24,12,25
24,12,26
24,12,27
24,13,12
24,13,13
24,13,14
24,13,15
24,13,16
24,13,17
24,13,18
24,13,19
24,13,20
24,13,21
24,13,22
24,13,23
24,13,24
24,13,25
24,13,26
24,13,27
24,14,12
24,14,13
24,14,14
24,14,15
24,14,16
24,14,17
24,14,18
24,14,19
24,14,20
24,14,21
24,14,22
24,14,23
24,14,24
24,14,25
24,14,26
24,14,27
24,15,12
24,15,13
24,15,14
24,15,15
24,15,16
24,15,17
24,15,18
24,15,19
24,15,20
24,15,21
24,15,22
24,15,23
24,15,24
24,15,25
24,15,26
24,15,27
24,16,12
24,16,13
24,16,14
24,16,15
24,16,16
24,16,17
24,16,18
24,16,19
24,16,20
24,16,21
24,16,22
24,16,23
24,16,24
24,16,25
24,16,26
24,16,27
24,17,12
24,17,13
24,17,14
24,17,15
24,17,16
24,17,17
24,17,18
24,17,19
24,17,20
24,17,21
24,17,22
24,17,23
24,17,24
24,17,25
24,17,26
24,17,27
24,18,12
24,18,13
24,18,14
24,18,15
24,18,16
24,18,17
24,18,18
24,18,19
24,18,20
24,18,21
24,18,22
24,18,23
24,18,24
24,18,25
24,18,26
24,18,27
24,19,12
24,19,13
24,19,14
24,19,15
24,19,16
24,19,17
24,19,18
24,19,19
24,19,20
24,19,21
24,19,22
24,19,23
24,19,24
24,19,25
24,19,26
24,19,27
24,20,12
24,20,13
24,20,14
24,20,15
24,20,16
24,20,17
24,20,18
24,20,19
24,20,20
24,20,21
24,20,22
24,20,23
24,20,24
24,20,25
24,20,26
24,20,27
24,21,12
24,21,13
24,21,14
24,21,15
24,21,16
24,21,17
24,21,18
24,21,19
24,21,20
24,21,21
24,21,22
24,21,23
24,21,24
24,21,25
24,21,26
24,21,27
24,22,12
24,22,13
24,22,14
24,22,15
24,22,16
24,22,17
24,22,18
24,22,19
24,22,20
24,22,21
24,22,22
24,22,23
24,22,24
24,22,25
24,22,26
24,22,27
25,10,12
25,10,13
25,10,14
25,10,15
25,10,16
25,10,17
25,10,18
25,10,19
25,10,20
25,10,21
25,10,22
25,10,23
25,10,24
25,10,25
25,10,26
25,10,27
25,11,12
25,11,13
25,11,14
25,11,15
25,11,16
25,11,17
25,11,18
25,11,19
25,11,20
25,11,21
25,11,22
25,11,23
25,11,24
25,11,25
25,11,26
25,11,27
25,12,12
25,12,13
25,12,14
25,12,15
25,12,16
25,12,17
25,12,18
25,12,19
25,12,20
25,12,21
25,12,22
25,12,23
25,12,24
25,12,25
25,12,26
25,12,27
25,13,12
25,13,13
25,13,14
25,13,15
25,13,16
25,13,17
25,13,18
25,13,19
25,13,20
25,13,21
25,13,22
25,13,23
25,13,24
25,13,25
25,13,26
25,13,27
25,14,12
25,14,13
25,14,14
25,14,15
25,14,16
25,14,17
25,14,18
25,14,19
25,14,20
25,14,21
25,14,22
25,14,23
25,14,24
25,14,25
25,14,26
25,14,27
25,15,12
25,15,13
25,15,14
25,15,15
25,15,16
25,15,17
25,15,18
25,15,19
25,15,20
25,15,21
25,15,22
25,15,23
25,15,24
25,15,25
25,15,26
25,15,27
25,16,12
25,16,13
25,16,14
25,16,15
25,16,16
25,16,17
25,16,18
25,16,19
25,16,20
25,16,21
25,16,22
25,16,23
25,16,24
25,16,25
25,16,26
25,16,27
25,17,12
25,17,13
25,17,14
25,17,15
25,17,16
25,17,17
25,17,18
25,17,19
25,17,20
25,17,21
25,17,22
25,17,23
25,17,24
25,17,25
25,17,26
25,17,27
25,18,12
25,18,13
25,18,14
25,18,15
25,18,16
25,18,17
25,18,18
25,18,19
25,18,20
25,18,21
25,18,22
25,18,23
25,18,24
25,18,25
25,18,26
25,18,27
25,19,12
25,19,13
25,19,14
25,19,15
25,19,16
25,19,17
25,19,18
25,19,19
25,19,20
25,19,21
25,19,22
25,19,23
25,19,24
25,19,25
25,19,26
25,19,27
25,20,12
25,20,13
25,20,14
25,20,15
25,20,16
25,20,17
25,20,18
25,20,19
25,20,20
25,20,21
25,20,22
25,20,23
25,20,24
25,20,25
25,20,26
25,20,27
25,21,12
25,21,13
25,21,14
25,21,15
25,21,16
25,21,17
25,21,18
25,21,19
25,21,20
25,21,21
25,21,22
25,21,23
25,21,24
25,21,25
25,21,26
25,21,27
25,22,12
25,22,13
25,22,14
25,22,15
25,22,16
25,22,17
25,22,18
25,22,19
25,22,20
25,22,21
25,22,22
25,22,23
25,22,24
25,22,25
25,22,26
25,22,27
26,10,12
26,10,13
26,10,14
26,10,15
26,10,16
26,10,17
26,10,18
26,10,19
26,10,20
26,10,21
26,10,22
26,10,23
26,10,24
26,10,25
26,10,26
26,10,27
26,11,12
26,11,13
26,11,14
26,11,15
26,11,16
26,11,17
26,11,18
26,11,19
26,11,20
26,11,21
26,11,22
26,11,23
26,11,24
26,11,25
26,11,26
26,11,27
26,12,12
26,12,13
26,12,14
26,12,15
26,12,16
26,12,17
26,12,18
26,12,19
26,12,20
26,12,21
26,12,22
26,12,23
26,12,24
26,12,25
26,12,26
26,12,27
26,13,12
26,13,13
26,13,14
26,13,15
26,13,16
26,13,17
26,13,18
26,13,19
26,13,20
26,13,21
26,13,22
26,13,23
26,13,24
26,13,25
26,13,26
26,13,27
26,14,12
26,14,13
26,14,14
26,14,15
26,14,16
26,14,17
26,14,18
26,14,19
26,14,20
26,14,21
26,14,22
26,14,23
26,14,24
26,14,25
26,14,26
26,14,27
26,15,12
26,15,13
26,15,14
26,15,15
26,15,16
26,15,17
26,15,18
26,15,19
26,15,20
26,15,21
26,15,22
26,15,23
26,15,24
26,15,25
26,15,26
26,15,27
26,16,12
26,16,13
26,16,14
26,16,15
26,16,16
26,16,17
26,16,18
26,16,19
26,16,20
26,16,21
26,16,22
26,16,23
26,16,24
26,16,25
26,16,26
26,16,27
26,17,12
26,17,13
26,17,14
26,17,15
26,17,16
26,17,17
26,17,18
26,17,19
26,17,20
26,17,21
26,17,22
26,17,23
26,17,24
26,17,25
26,17,26
26,17,27
26,18,12
26,18,13
26,18,14
26,18,15
26,18,16
26,18,17
26,18,18
26,18,19
26,18,20
26,18,21
26,18,22
26,18,23
26,18,24
26,18,25
26,18,26
26,18,27
26,19,12
26,19,13
26,19,14
26,19,15
26,19,16
26,19,17
26,19,18
26,19,19
26,19,20
26,19,21
26,19,22
26,19,23
26,19,24
26,19,25
26,19,26
26,19,27
26,20,12
26,20,13
26,20,14
26,20,15
26,20,16
26,20,17
26,20,18
26,20,19
26,20,20
26,20,21
26,20,22
26,20,23
26,20,24
26,20,25
26,20,26
26,20,27
26,21,12
26,21,13
26,21,14
26,21,15
26,21,16
26,21,17
26,21,18
26,21,19
26,21,20
26,21,21
26,21,22
26,21,23
26,21,24
26,21,25
26,21,26
26,21,27
26,22,12
26,22,13
26,22,14
26,22,15
26,22,16
26,22,17
26,22,18
26,22,19
26,22,20
26,22,21
26,22,22
26,22,23
26,22,24
26,22,25
26,22,26
26,22,27
27,10,12
27,10,13
27,10,14
27,10,15
27,10,16
27,10,17
27,10,18
27,10,19
27,10,20
27,10,21
27,10,22
27,10,23
27,10,24
27,10,25
27,10,26
27,10,27
27,11,12
27,11,13
27,11,14
27,11,15
27,11,16
27,11,17
27,11,18
27,11,19
27,11,20
27,11,21
27,11,22
27,11,23
27,11,24
27,11,25
27,11,26
27,11,27
27,12,12
27,12,13
27,12,14
27,12,15
27,12,16
27,12,17
27,12,18
27,12,19
27,12,20
27,12,21
27,12,22
27,12,23
27,12,24
27,12,25
27,12,26
27,12,27
27,13,12
27,13,13
27,13,14
27,13,15
27,13,16
27,13,17
27,13,18
27,13,19
27,13,20
27,13,21
27,13,22
27,13,23
27,13,24
27,13,25
27,13,26
27,13,27
27,14,12
27,14,13
27,14,14
27,14,15
27,14,16
27,14,17
27,14,18
27,14,19
27,14,20
27,14,21
27,14,22
27,14,23
27,14,24
27,14,25
27,14,26
27,14,27
27,15,12
27,15,13
27,15,14
27,15,15
27,15,16
27,15,17
27,15,18
27,15,19
27,15,20
27,15,21
27,15,22
27,15,23
27,15,24
27,15,25
27,15,26
27,15,27
27,16,12
27,16,13
27,16,14
27,16,15
27,16,16
27,16,17
27,16,18
27,16,19
27,16,20
27,16,21
27,16,22
27,16,23
27,16,24
27,16,25
27,16,26
27,16,27
27,17,12
27,17,13
27,17,14
27,17,15
27,17,16
27,17,17
27,17,18
27,17,19
27,17,20
27,17,21
27,17,22
27,17,23
27,17,24
27,17,25
27,17,26
27,17,27
27,18,12
27,18,13
27,18,14
27,18,15
27,18,16
27,18,17
27,18,18
27,18,19
27,18,20
27,18,21
27,18,22
27,18,23
27,18,24
27,18,25
27,18,26
27,18,27
27,19,12
27,19,13
27,19,14
27,19,15
27,19,16
