orderid,·¢³µºÅ,if_loaded,sku_counts,total_skuvolume,sku_average_volume,sku_length_var,sku_width_var,sku_height_var,aspect_ratio_var,vehicle_capacity,sku_length_avg,sku_width_avg,sku_height_avg,max_asr,vehicle_length,vehicle_width,vehicle_height,spare_capacity,sku_concentration
0,0,0,10,30709,3070.9,38.8,7.44,12.44,2.69675223,45000,26,10.4,11.4,6.6,40,20,20,14291,0.27041254
1,1,0,18,32189,1788.277778,38.22222222,10.83024691,8.311728395,1.210766189,45000,20.33333333,10.94444444,8.277777778,6.6,40,20,20,12811,0.317676751
2,2,0,11,32850,2986.363636,39.15702479,9.702479339,13.14049587,0.280912051,45000,22.45454545,9.545454545,12.63636364,4,40,20,20,12150,0.297288845
3,3,0,9,31787,3531.888889,37.72839506,12.69135802,10.17283951,3.242299964,45000,26.22222222,10.55555556,13.22222222,5.666666667,40,20,20,13213,0.270987719
4,4,0,6,30812,5135.333333,35.13888889,1.555555556,0.472222222,0.418922894,45000,27.83333333,10.66666667,17.16666667,3.625,40,20,20,14188,0.123310675
5,5,0,9,36048,4005.333333,46.09876543,8.444444444,20.91358025,1.184736709,45000,23.88888889,11.66666667,12.55555556,4.714285714,40,20,20,8952,0.299176063
6,6,0,13,24840,1910.769231,76.24852071,15.28994083,10.71005917,2.30267037,45000,22.53846154,10.30769231,9.461538462,5.833333333,40,20,20,20160,0.370888845
7,7,1,10,27186,2718.6,27.16,10.81,13.21,1.588220611,45000,23.2,10.7,11.3,4.428571429,40,20,20,17814,0.284517729
8,8,0,14,32348,2310.571429,43.88265306,6,10.34693878,1.881124585,45000,28.78571429,10,8.714285714,5.666666667,40,20,20,12652,0.281400846
9,9,0,13,32751,2519.307692,66.30769231,17.10059172,5.289940828,3.449134615,45000,25,8.769230769,12.69230769,6.2,40,20,20,12249,0.326165657
10,10,0,10,31159,3115.9,51.76,12.05,7.89,2.927030966,45000,26.8,7.5,13.9,7,40,20,20,13841,0.311123659
11,11,1,8,32310,4038.75,66.4375,6.859375,20.1875,0.774275143,45000,24.25,9.875,14.25,4,40,20,20,12690,0.305547172
12,12,1,11,30403,2763.909091,63.4214876,4.694214876,17.52066116,1.051167078,45000,24.18181818,8.181818182,12.45454545,4.4,40,20,20,14597,0.310073477
13,13,0,6,31554,5259,9,0.25,4,0.029387755,45000,30,14.5,12,2.7,40,20,20,13446,0.100383142
14,14,0,16,30162,1885.125,58.02734375,6.109375,8.859375,4.739436139,45000,23.1875,7.375,12.375,7.2,40,20,20,14838,0.301397033
15,15,0,10,27888,2788.8,98.84,10.76,6,3.198057266,45000,24.6,8.8,13,5.666666667,40,20,20,17112,0.321772247
16,16,0,13,32826,2525.076923,61.23076923,14.98224852,22.43786982,2.878631137,45000,29,8.307692308,11.84615385,7.2,40,20,20,12174,0.378536485
17,17,1,8,26768,3346,2.1875,6.75,2.984375,0.959106878,45000,28.75,9,12.625,5,40,20,20,18232,0.158984571
18,18,0,20,35556,1777.8,40.5475,1.0475,18.5475,1.547945986,45000,23.45,7.05,11.05,6,40,20,20,9444,0.268820641
19,19,0,16,29676,1854.75,77.49609375,4.859375,14.6875,2.886667826,45000,23.5625,7.875,10.25,5.833333333,40,20,20,15324,0.342476361
20,20,1,15,31332,2088.8,21.62666667,7.822222222,9.982222222,0.643864319,45000,17.8,9.666666667,12.13333333,3.714285714,40,20,20,13668,0.270327737
21,21,0,12,33321,2776.75,35.63888889,7.854166667,10.88888889,1.976830839,45000,28.16666667,9.25,10.66666667,5.833333333,40,20,20,11679,0.274760656
22,22,1,10,30226,3022.6,48.04,14.2,2.36,2.90696809,45000,24.4,9,13.2,6.8,40,20,20,14774,0.273046928
23,23,0,10,34752,3475.2,34,6.64,19.05,1.666979592,45000,30,8.4,12.5,6,40,20,20,10248,0.283433255
24,24,0,14,33707,2407.642857,62.78061224,15.24489796,6.780612245,1.147160642,45000,20.07142857,9.428571429,13.07142857,4.571428571,40,20,20,11293,0.336027322
25,25,0,18,30292,1682.888889,34.44444444,11.83950617,10.77777778,1.751743668,45000,23.33333333,8.222222222,9.666666667,6,40,20,20,14708,0.336541505
26,26,1,8,32200,4025,57,4.6875,15.75,0.126938776,45000,27,11.75,10.5,3.4,40,20,20,12800,0.280616232
27,27,1,12,29778,2481.5,60.22222222,8.555555556,10.63888889,1.810205607,45000,26.33333333,8.666666667,11.16666667,6,40,20,20,15222,0.308096265
28,28,0,6,34140,5690,66.80555556,2.25,10.47222222,0.473421079,45000,30.83333333,13.5,14.16666667,3.272727273,40,20,20,10860,0.201541927
29,29,0,3,20130,6710,72,3.555555556,3.555555556,0.155445363,45000,27,13.66666667,16.66666667,2.2,40,20,20,24870,0.188459607
30,30,1,6,25496,4249.333333,77.55555556,18.88888889,2.888888889,6.79640955,45000,31.66666667,9.333333333,14.66666667,7.2,40,20,20,19504,0.286548706
31,31,1,9,29501,3277.888889,48.66666667,4.024691358,7.555555556,0.493159754,45000,28.33333333,8.555555556,14,4,40,20,20,15499,0.22568068
32,32,1,10,30540,3054,31.29,12.29,8.16,0.961733333,45000,24.1,10.1,12.2,4,40,20,20,14460,0.271116941
33,33,1,14,31470,2247.857143,17.73979592,13.88265306,11.83673469,1.263034088,45000,27.78571429,9.214285714,8.857142857,5.8,40,20,20,13530,0.314796084
34,34,0,13,32534,2502.615385,28.86390533,8.402366864,13.30177515,1.597232218,45000,24.46153846,8.538461538,11.92307692,4.6,40,20,20,12466,0.28833579
