orderid,·¢³µºÅ,if_loaded,sku_counts,total_skuvolume,sku_average_volume,sku_length_var,sku_width_var,sku_height_var,aspect_ratio_var,vehicle_capacity,sku_length_avg,sku_width_avg,sku_height_avg,max_asr,vehicle_length,vehicle_width,vehicle_height,spare_capacity,sku_concentration
0,0,True,13,38448,2957.5384615384614,40.33136094674557,10.390532544378699,18.366863905325445,0.7463632724621737,45000,22.23076923076923,10.615384615384615,12.692307692307692,4.5,40,20,20,6552,0.3089954433394459
1,1,True,14,29471,2105.0714285714284,59.372448979591844,11.209183673469388,11.454081632653061,1.2244464915595867,45000,24.642857142857142,8.928571428571429,9.785714285714286,5.0,40,20,20,15529,0.34450271439541097
2,2,True,13,37920,2916.923076923077,61.15976331360945,9.005917159763316,4.639053254437871,0.7262409005228684,45000,25.615384615384617,8.615384615384615,13.23076923076923,4.714285714285714,40,20,20,7080,0.2721410325867552
3,3,True,9,32128,3569.777777777778,25.65432098765432,3.728395061728395,5.555555555555555,0.9553163863621926,45000,21.88888888888889,11.222222222222221,15.0,4.142857142857143,40,20,20,12872,0.1868640251935593
4,4,True,8,18834,2354.25,18.9375,8.109375,5.109375,1.4520833333333334,45000,28.25,7.125,10.875,5.5,40,20,20,26166,0.25385740409514196
5,5,True,16,36360,2272.5,14.40234375,8.27734375,12.984375,1.07199013830761,45000,18.1875,10.1875,12.375,4.166666666666667,40,20,20,8640,0.26075106857745184
6,6,True,17,34238,2014.0,56.60207612456747,11.778546712802768,12.249134948096884,0.8901270449008005,45000,16.529411764705884,9.470588235294118,12.470588235294118,4.0,40,20,20,10762,0.3660629367164237
7,7,True,11,29712,2701.090909090909,83.90082644628099,10.066115702479339,22.56198347107438,3.879975460769666,45000,21.90909090909091,11.454545454545455,11.727272727272727,5.833333333333333,40,20,20,15288,0.36669883546847903
8,8,True,14,39600,2828.5714285714284,87.6734693877551,10.102040816326532,9.311224489795917,1.6575304147039216,45000,22.571428571428573,9.428571428571429,11.785714285714286,5.666666666666667,40,20,20,5400,0.3369479364199464
9,9,True,13,24816,1908.923076923077,21.786982248520715,11.822485207100591,5.538461538461538,2.313938203481993,45000,22.46153846153846,8.846153846153847,10.0,5.6,40,20,20,20184,0.27727757284469273
10,10,True,14,33224,2373.1428571428573,94.37244897959182,8.229591836734693,14.107142857142858,4.691672104215836,45000,27.357142857142858,7.357142857142857,11.5,7.2,40,20,20,11776,0.3572097067743943
11,11,True,8,28932,3616.5,27.75,3.1875,5.859375,0.27379617136110634,45000,20.0,11.75,16.125,2.6363636363636362,40,20,20,16068,0.18848408770297564
12,12,True,17,32034,1884.3529411764705,19.65397923875432,9.501730103806228,17.875432525951556,0.4066633734103663,45000,19.41176470588235,8.705882352941176,11.647058823529411,3.8333333333333335,40,20,20,12966,0.31515172142457326
13,13,True,11,27948,2540.7272727272725,12.743801652892563,5.65289256198347,5.7190082644628095,0.1251568401267875,45000,21.727272727272727,10.727272727272727,10.090909090909092,3.0,40,20,20,17052,0.2076438328241997
14,14,True,4,20660,5165.0,12.0,9.1875,3.0,0.07520833333333332,45000,26.0,13.25,14.0,2.5,40,20,20,24340,0.16190467324880134
15,15,True,14,35946,2567.5714285714284,25.73979591836735,10.168367346938776,12.551020408163266,0.6110131741661139,45000,20.785714285714285,11.214285714285714,12.142857142857142,3.1666666666666665,40,20,20,9054,0.27339625145035445
16,16,True,12,32040,2670.0,12.409722222222221,12.222222222222221,8.305555555555555,2.094223499211623,45000,23.583333333333332,9.666666666666666,11.833333333333334,5.4,40,20,20,12960,0.2515254676059375
17,17,True,15,34792,2319.4666666666667,61.528888888888886,14.195555555555556,10.488888888888889,0.4665941015089163,45000,17.733333333333334,9.933333333333334,13.333333333333334,3.875,40,20,20,10208,0.3548435082853934
18,18,True,18,38447,2135.9444444444443,39.80555555555555,10.358024691358025,11.506172839506174,1.4496152457750249,45000,19.833333333333332,9.444444444444445,11.222222222222221,4.333333333333333,40,20,20,6553,0.32038126296117103
19,19,True,11,35847,3258.818181818182,64.77685950413223,12.97520661157025,8.56198347107438,1.1413440594259774,45000,25.636363636363637,8.545454545454545,14.272727272727273,4.571428571428571,40,20,20,9153,0.31349369499694807
20,20,True,10,35696,3569.6,55.8,7.889999999999999,17.76,4.442191383219955,45000,30.0,8.9,14.2,7.2,40,20,20,9304,0.28712844277777705
21,21,True,5,27628,5525.6,44.160000000000004,3.44,25.2,0.8256,45000,29.2,13.6,13.0,4.0,40,20,20,17372,0.25003542000948104
22,22,True,10,39470,3947.0,13.45,14.61,4.61,1.5488614325068866,45000,29.5,8.7,15.3,5.6,40,20,20,5530,0.23466579365245901
23,23,True,13,27908,2146.769230769231,14.5207100591716,7.136094674556213,9.479289940828403,0.991476536931082,45000,20.692307692307693,10.307692307692308,10.538461538461538,4.333333333333333,40,20,20,17092,0.24515646158211787
24,24,True,11,29227,2657.0,39.71900826446281,5.421487603305785,9.867768595041321,1.191047717343735,45000,19.90909090909091,11.181818181818182,12.363636363636363,5.333333333333333,40,20,20,15773,0.25962047601391075
25,25,True,9,27887,3098.5555555555557,30.22222222222222,5.111111111111111,11.80246913580247,1.38613834813931,45000,22.333333333333332,10.666666666666666,13.444444444444445,5.833333333333333,40,20,20,17113,0.23787812023282517
26,26,True,10,25656,2565.6,35.89,12.210000000000003,12.64,1.827588040123457,45000,23.9,9.3,11.6,5.2,40,20,20,19344,0.31096026536454313
27,27,True,11,27643,2513.0,62.95867768595041,11.289256198347106,9.90082644628099,1.3356640157122732,45000,20.636363636363637,9.727272727272727,12.090909090909092,5.0,40,20,20,17357,0.33005180315260146
28,28,True,11,32117,2919.7272727272725,35.50413223140496,4.3801652892561975,9.47107438016529,0.41767390119038467,45000,20.636363636363637,12.272727272727273,11.727272727272727,3.142857142857143,40,20,20,12883,0.24056476733224805
29,29,True,15,23445,1563.0,46.75555555555555,1.128888888888889,11.98222222222222,1.374654195011338,45000,20.666666666666668,7.066666666666666,10.533333333333333,5.0,40,20,20,21555,0.2699469271897947
30,30,True,12,41454,3454.5,51.354166666666664,18.555555555555554,18.243055555555554,1.1437772711249237,45000,25.25,10.666666666666666,11.916666666666666,4.8,40,20,20,3546,0.34868988301748277
31,31,True,10,31136,3113.6,36.64,11.61,15.040000000000001,0.49155555555555547,45000,23.4,10.3,13.4,4.333333333333333,40,20,20,13864,0.29296777856257883
32,32,True,19,33797,1778.7894736842106,36.24930747922438,3.3130193905817173,8.631578947368421,1.319918350181328,45000,22.526315789473685,8.947368421052632,9.0,5.166666666666667,40,20,20,11203,0.2657153485593305
33,33,True,9,18144,2016.0,72.66666666666667,0.0,9.358024691358025,1.011337868480726,45000,23.0,7.0,13.555555555555555,5.142857142857143,40,20,20,26856,0.1987666063964534
34,34,True,7,28086,4012.285714285714,32.40816326530613,9.673469387755102,13.959183673469388,0.9816553287981858,45000,25.142857142857142,11.571428571428571,12.428571428571429,4.8,40,20,20,16914,0.26527234275075834
35,35,True,8,29975,3746.875,15.234375,10.734375,16.6875,0.310905612244898,45000,23.375,12.625,11.75,3.0,40,20,20,15025,0.25805090878381526
36,36,True,11,31506,2864.181818181818,17.702479338842974,12.446280991735536,9.421487603305787,0.9506032495642884,45000,24.545454545454547,9.090909090909092,13.181818181818182,4.333333333333333,40,20,20,13494,0.2641134727432179
