orderid,·¢³µºÅ,if_loaded,sku_counts,total_skuvolume,sku_average_volume,sku_length_var,sku_width_var,sku_height_var,aspect_ratio_var,vehicle_capacity,sku_length_avg,sku_width_avg,sku_height_avg,max_asr,vehicle_length,vehicle_width,vehicle_height,spare_capacity,sku_concentration
0,0.0,1.0,1,27825.0,27825.0,0.0,0.0,0.0,0.0,45000.0,53.0,21.0,25.0,2.5238095238095237,40,20,20,17175.0,0.0
1,1.0,0.0,2,32352.0,16176.0,30.25,6.25,6.25,0.41135425524376423,45000.0,45.5,18.5,19.5,3.1875,40,20,20,12648.0,0.12807312807312807
2,2.0,0.0,3,44085.0,14695.0,20.666666666666668,20.666666666666668,10.666666666666666,0.9430526720492116,45000.0,45.0,16.0,21.0,4.6,40,20,20,915.0,0.18022517058388032
3,3.0,0.0,2,24192.0,12096.0,0.0,0.0,0.0,0.0,45000.0,42.0,18.0,16.0,2.625,40,20,20,20808.0,0.0
4,4.0,1.0,2,29160.0,14580.0,0.0,0.0,0.0,0.0,45000.0,30.0,18.0,27.0,1.6666666666666667,40,20,20,15840.0,0.0
5,5.0,0.0,3,41796.0,13932.0,18.0,0.8888888888888888,14.222222222222223,0.013888888888888888,45000.0,39.0,16.666666666666668,20.666666666666668,2.5,40,20,20,3204.0,0.11594445682582395
6,6.0,1.0,1,24300.0,24300.0,0.0,0.0,0.0,0.0,45000.0,50.0,18.0,27.0,2.7777777777777777,40,20,20,20700.0,0.0
7,7.0,0.0,4,37134.0,9283.5,0.25,6.25,0.25,0.19033544790465207,45000.0,38.5,14.5,16.5,3.1666666666666665,40,20,20,7866.0,0.07190127879783052
8,8.0,0.0,3,34354.0,11451.333333333334,14.222222222222223,5.5555555555555545,14.222222222222223,0.1346490472910927,45000.0,47.666666666666664,12.666666666666666,17.666666666666668,4.090909090909091,40,20,20,10646.0,0.1595545908784973
9,9.0,0.0,2,20712.0,10356.0,9.0,2.25,2.25,0.22653938609467464,45000.0,37.0,14.5,19.5,3.076923076923077,40,20,20,24288.0,0.08715081128874232
10,10.0,1.0,3,26872.0,8957.333333333334,10.888888888888891,22.222222222222218,37.55555555555555,0.0002834467120181386,45000.0,28.666666666666668,18.666666666666668,18.333333333333332,2.25,40,20,20,18128.0,0.23397240085833337
11,11.0,0.0,3,26520.0,8840.0,0.0,0.0,0.0,0.0,45000.0,34.0,13.0,20.0,2.6153846153846154,40,20,20,18480.0,0.0
12,12.0,1.0,2,21736.0,10868.0,0.0,0.0,0.0,0.0,45000.0,26.0,22.0,19.0,1.368421052631579,40,20,20,23264.0,0.0
13,13.0,1.0,3,29230.0,9743.333333333334,96.22222222222221,16.666666666666668,3.555555555555556,1.0305107639763722,45000.0,37.333333333333336,17.0,15.333333333333334,4.083333333333333,40,20,20,15770.0,0.20862335192168635
14,14.0,0.0,2,35568.0,17784.0,0.0,0.0,0.0,0.0,45000.0,39.0,19.0,24.0,2.0526315789473686,40,20,20,9432.0,0.0
15,15.0,0.0,2,27200.0,13600.0,0.0,0.0,0.0,0.0,45000.0,32.0,17.0,25.0,1.8823529411764706,40,20,20,17800.0,0.0
