orderid,·¢³µºÅ,if_loaded,sku_counts,total_skuvolume,sku_average_volume,sku_length_var,sku_width_var,sku_height_var,aspect_ratio_var,vehicle_capacity,sku_length_avg,sku_width_avg,sku_height_avg,max_asr,vehicle_length,vehicle_width,vehicle_height,spare_capacity,sku_concentration
0,0.0,0.0,6,25940.0,4323.333333333333,18.88888888888889,6.138888888888888,9.805555555555555,0.9103008871018639,45000.0,28.333333333333332,10.166666666666666,14.833333333333334,4.285714285714286,40,20,20,19060.0,0.20273449077873362
1,1.0,0.0,15,42906.0,2860.4,56.355555555555576,9.528888888888888,4.728888888888888,2.5218419038873585,45000.0,27.333333333333332,10.933333333333334,10.066666666666666,6.0,40,20,20,2094.0,0.2576683379876837
2,2.0,0.0,16,38937.0,2433.5625,51.99609375,8.125,19.18359375,2.2542661879922496,45000.0,24.5625,8.5,12.0625,6.0,40,20,20,6063.0,0.33067254916173866
3,3.0,0.0,16,40492.0,2530.75,21.43359375,15.6875,11.21484375,2.0804046070859856,45000.0,25.0625,9.75,11.3125,6.4,40,20,20,4508.0,0.2956619056840714
4,4.0,0.0,10,31375.0,3137.5,42.81,6.090000000000001,17.04,0.5849139289614814,45000.0,22.7,12.1,11.4,4.0,40,20,20,13625.0,0.2847620022945652
5,5.0,0.0,10,33476.0,3347.6,67.56,12.2,14.85,2.5817892604149097,45000.0,26.8,11.0,11.5,7.2,40,20,20,11524.0,0.3197740598085117
6,6.0,0.0,9,26867.0,2985.222222222222,58.543209876543216,8.320987654320987,12.469135802469136,0.6200898937508623,45000.0,19.88888888888889,11.11111111111111,12.444444444444445,3.6,40,20,20,18133.0,0.3093581538669558
7,7.0,0.0,16,29769.0,1860.5625,56.43359375,7.18359375,10.484375,1.2439670138888888,45000.0,19.0625,8.9375,10.875,5.833333333333333,40,20,20,15231.0,0.33057084705103157
8,8.0,0.0,9,27755.0,3083.8888888888887,52.32098765432099,4.469135802469136,16.39506172839506,1.7016453819904998,45000.0,24.11111111111111,12.444444444444445,10.777777777777779,6.0,40,20,20,17245.0,0.28185509525423935
9,9.0,0.0,10,25685.0,2568.5,35.21,12.0,22.36,1.2387533944281197,45000.0,21.7,10.0,12.2,4.833333333333333,40,20,20,19315.0,0.3358167875843136
10,10.0,0.0,11,35628.0,3238.909090909091,64.36363636363636,10.809917355371901,12.69421487603306,0.6753271137801896,45000.0,21.0,11.090909090909092,12.818181818181818,4.0,40,20,20,9372.0,0.3188114405465228
11,11.0,0.0,14,41777.0,2984.0714285714284,18.408163265306122,12.066326530612244,9.918367346938776,0.8690640697041576,45000.0,23.857142857142858,10.928571428571429,12.285714285714286,4.6,40,20,20,3223.0,0.25134452266140384
12,12.0,0.0,8,31454.0,3931.75,34.75,18.359375,2.359375,2.908165680473373,45000.0,27.0,9.875,15.125,6.0,40,20,20,13546.0,0.25126257417148795
13,13.0,0.0,13,32461.0,2497.0,60.710059171597635,11.408284023668639,22.5207100591716,1.0674894690384304,45000.0,19.53846153846154,10.23076923076923,11.307692307692308,5.0,40,20,20,12539.0,0.38286923782883225
14,14.0,0.0,14,31995.0,2285.3571428571427,42.0,8.51530612244898,8.311224489795917,1.4459508339232698,45000.0,23.0,8.642857142857142,11.785714285714286,6.0,40,20,20,13005.0,0.2880046854972803
15,15.0,0.0,12,36382.0,3031.8333333333335,16.6875,6.0555555555555545,10.63888888888889,1.7103070967970517,45000.0,31.25,8.666666666666666,11.833333333333334,6.8,40,20,20,8618.0,0.23009973953376872
16,16.0,0.0,14,38593.0,2756.6428571428573,72.77551020408164,11.959183673469386,11.142857142857142,3.6250588276889184,45000.0,25.285714285714285,9.428571428571429,12.0,7.2,40,20,20,6407.0,0.32744405558218914
17,17.0,0.0,7,22514.0,3216.285714285714,105.83673469387755,3.102040816326531,14.693877551020408,0.9179751555233217,45000.0,22.857142857142858,11.428571428571429,10.857142857142858,4.5,40,20,20,22486.0,0.31908683737577764
18,18.0,0.0,11,39289.0,3571.7272727272725,52.51239669421488,6.925619834710743,14.0,0.7829215805690262,45000.0,25.181818181818183,10.272727272727273,14.0,4.25,40,20,20,5711.0,0.2704030505954494
19,19.0,0.0,11,39654.0,3604.909090909091,66.3801652892562,8.413223140495868,7.7190082644628095,0.5931845249388449,45000.0,22.272727272727273,11.636363636363637,13.909090909090908,3.8,40,20,20,5346.0,0.27160534735902786
20,20.0,0.0,17,39052.0,2297.176470588235,18.103806228373703,6.996539792387544,12.173010380622838,1.0138605190901508,45000.0,22.88235294117647,10.058823529411764,10.058823529411764,4.5,40,20,20,5948.0,0.26525528724515274
21,21.0,0.0,14,34768.0,2483.4285714285716,65.35204081632652,6.739795918367347,20.229591836734695,1.4819290128400913,45000.0,24.928571428571427,9.214285714285714,11.642857142857142,5.0,40,20,20,10232.0,0.3307819298607341
22,22.0,0.0,12,33287.0,2773.9166666666665,55.805555555555564,7.888888888888888,7.138888888888888,1.781260265797303,45000.0,20.833333333333332,9.666666666666666,13.833333333333334,5.8,40,20,20,11713.0,0.28075968980754007
23,23.0,0.0,15,41387.0,2759.133333333333,29.30666666666667,8.533333333333333,10.488888888888889,0.7491549480697629,45000.0,25.4,10.0,11.333333333333334,4.571428571428571,40,20,20,3613.0,0.2636716067643505
24,24.0,0.0,8,28105.0,3513.125,59.609375,4.6875,12.734375,1.666489158163265,45000.0,27.125,11.25,12.625,4.857142857142857,40,20,20,16895.0,0.2532466940639758
25,25.0,0.0,12,25664.0,2138.6666666666665,31.388888888888896,7.743055555555557,15.583333333333334,1.2799958032741914,45000.0,23.333333333333332,8.416666666666666,10.5,5.0,40,20,20,19336.0,0.3155599725475478
26,26.0,0.0,14,26708.0,1907.7142857142858,52.10204081632653,5.285714285714286,11.066326530612244,1.384422247298827,45000.0,19.428571428571427,9.0,9.928571428571429,5.2,40,20,20,18292.0,0.32067660812007864
27,27.0,0.0,10,37994.0,3799.4,39.96,6.960000000000001,6.890000000000001,0.7924654385093943,45000.0,25.8,9.2,15.1,4.333333333333333,40,20,20,7006.0,0.23520240140338208
28,28.0,0.0,11,25545.0,2322.2727272727275,24.148760330578515,5.884297520661158,10.975206611570249,0.7551858745228391,45000.0,22.181818181818183,11.454545454545455,9.545454545454545,4.0,40,20,20,19455.0,0.26012520897372066
29,29.0,0.0,12,38772.0,3231.0,74.40972222222223,6.409722222222221,4.909722222222222,1.6714165615634922,45000.0,29.083333333333332,8.583333333333334,12.916666666666666,5.2,40,20,20,6228.0,0.2543683288630496
30,30.0,0.0,12,38434.0,3202.8333333333335,31.020833333333332,12.833333333333334,19.388888888888893,2.2202532123960697,45000.0,28.25,9.0,11.666666666666666,5.166666666666667,40,20,20,6566.0,0.32420660810949414
31,31.0,0.0,17,41472.0,2439.529411764706,82.14532871972318,7.993079584775086,12.698961937716263,2.494915723108776,45000.0,25.176470588235293,9.647058823529411,10.352941176470589,6.0,40,20,20,3528.0,0.33242213452712904
32,32.0,0.0,9,29743.0,3304.777777777778,36.444444444444436,5.3580246913580245,7.2098765432098775,1.0015085924176832,45000.0,28.333333333333332,9.555555555555555,12.88888888888889,4.5,40,20,20,15257.0,0.22121219147059887
33,33.0,0.0,10,31936.0,3193.6,58.09000000000001,5.69,10.610000000000001,0.9287600561403175,45000.0,24.1,10.9,12.7,4.0,40,20,20,13064.0,0.26385800565240575
34,34.0,0.0,8,25745.0,3218.125,58.4375,9.6875,14.484375,0.6621656470783905,45000.0,25.25,10.75,10.375,5.0,40,20,20,19255.0,0.31970338327842035
35,35.0,0.0,7,29971.0,4281.571428571428,21.387755102040817,6.6938775510204085,8.775510204081632,0.37767945840467715,45000.0,28.428571428571427,11.857142857142858,12.714285714285714,4.0,40,20,20,15029.0,0.204624434265295
36,36.0,0.0,21,40228.0,1915.6190476190477,34.467120181405896,10.181405895691611,10.625850340136054,2.6288588738174363,45000.0,20.904761904761905,9.238095238095237,10.428571428571429,5.8,40,20,20,4772.0,0.31293840100340997
37,37.0,0.0,13,31250.0,2403.846153846154,27.94082840236687,7.479289940828404,18.059171597633135,0.28836637416307737,45000.0,24.46153846153846,9.461538461538462,11.307692307692308,4.0,40,20,20,13750.0,0.2936510934151267
38,38.0,0.0,11,31718.0,2883.4545454545455,35.53719008264463,4.413223140495868,11.173553719008265,1.585955510118554,45000.0,25.90909090909091,11.636363636363637,10.090909090909092,5.833333333333333,40,20,20,13282.0,0.24729249357063102
39,39.0,0.0,9,32696.0,3632.8888888888887,77.65432098765433,8.320987654320987,11.11111111111111,0.9183813443072703,45000.0,23.11111111111111,11.11111111111111,13.666666666666666,4.25,40,20,20,12304.0,0.29493776970092117
40,40.0,0.0,7,30878.0,4411.142857142857,51.387755102040806,0.8163265306122449,15.346938775510205,0.6080741186885043,45000.0,28.428571428571427,12.428571428571429,12.285714285714286,4.25,40,20,20,14122.0,0.21457429190395227
41,41.0,0.0,14,39740.0,2838.5714285714284,38.596938775510196,8.489795918367347,8.122448979591837,1.146718921128542,45000.0,27.214285714285715,9.285714285714286,10.857142857142858,6.0,40,20,20,5260.0,0.26819036774135113
42,42.0,0.0,13,28811.0,2216.230769230769,29.147928994082843,6.236686390532545,17.4792899408284,0.8140562723342443,45000.0,20.076923076923077,9.384615384615385,12.461538461538462,3.8333333333333335,40,20,20,16189.0,0.29017254273307963
43,43.0,0.0,10,25438.0,2543.8,76.85,6.090000000000001,6.0,1.5169464348702446,45000.0,29.5,9.1,9.0,6.0,40,20,20,19562.0,0.2801726894396582
44,44.0,0.0,16,40815.0,2550.9375,24.234375,7.12109375,8.24609375,0.5545771264091324,45000.0,21.875,9.4375,12.5625,4.142857142857143,40,20,20,4185.0,0.2454627850149381
45,45.0,0.0,13,39615.0,3047.3076923076924,69.10059171597632,8.745562130177515,19.917159763313613,1.5643106899772279,45000.0,23.76923076923077,11.153846153846153,12.076923076923077,4.833333333333333,40,20,20,5385.0,0.32813237472086926
46,46.0,0.0,7,24203.0,3457.5714285714284,68.24489795918367,4.857142857142857,15.26530612244898,1.5113709508090636,45000.0,23.571428571428573,12.0,12.857142857142858,4.285714285714286,40,20,20,20797.0,0.2793369006119551
47,47.0,0.0,10,26516.0,2651.6,2.76,8.209999999999999,11.489999999999998,0.37319231305934597,45000.0,22.2,9.7,11.9,3.8333333333333335,40,20,20,18484.0,0.21835837596178695
48,48.0,0.0,5,28426.0,5685.2,38.160000000000004,0.24,7.6,0.43091823022132714,45000.0,26.2,14.6,15.0,3.090909090909091,40,20,20,16574.0,0.1510399200645056
