orderid,·¢³µºÅ,if_loaded,sku_counts,total_skuvolume,sku_average_volume,sku_length_var,sku_width_var,sku_height_var,aspect_ratio_var,vehicle_capacity,sku_length_avg,sku_width_avg,sku_height_avg,max_asr,vehicle_length,vehicle_width,vehicle_height,spare_capacity,sku_concentration
0,0.0,0.0,102,35690.0,349.9019607843137,11.849769319492504,2.995001922337561,4.338427527873894,3.2544367332989843,45000.0,11.205882352941176,4.8431372549019605,6.401960784313726,9.0,40,20,20,9310.0,0.3299583120366338
1,1.0,0.0,104,34864.0,335.2307692307692,14.437869822485206,2.4951923076923075,4.601238905325443,3.1526292905907436,45000.0,12.153846153846153,4.75,5.9326923076923075,9.0,40,20,20,10136.0,0.3355835318723019
2,2.0,0.0,136,44294.0,325.69117647058823,14.250810986159172,2.8040116782006916,3.2694096020761245,3.1034259230653047,45000.0,12.669117647058824,4.360294117647059,5.948529411764706,9.0,40,20,20,706.0,0.32865818959167337
3,3.0,0.0,115,34450.0,299.5652173913044,14.593572778827978,2.770964083175804,4.09648393194707,2.599179075738676,45000.0,11.434782608695652,4.6347826086956525,5.721739130434782,9.0,40,20,20,10550.0,0.34899164483377243
4,4.0,0.0,103,30305.0,294.22330097087377,12.27372985201244,2.971439343953247,3.1659911395984537,2.261349345280576,45000.0,10.83495145631068,4.689320388349515,5.864077669902913,8.0,40,20,20,14695.0,0.3314557873476493
5,5.0,0.0,118,38203.0,323.7542372881356,12.654696926170638,2.5598965814421133,3.5073254811835675,2.6567950099698976,45000.0,11.847457627118644,4.610169491525424,5.966101694915254,9.0,40,20,20,6797.0,0.32040614398054984
6,6.0,0.0,130,42498.0,326.9076923076923,13.515325443786983,2.4944378698224847,4.454437869822485,2.912330966469428,45000.0,11.992307692307692,4.369230769230769,6.230769230769231,9.0,40,20,20,2502.0,0.3355883089148093
7,7.0,0.0,137,41557.0,303.33576642335765,14.953593691725718,2.999094251158826,3.8288667483616603,3.8496838771027972,45000.0,12.05109489051095,4.343065693430657,5.664233576642336,9.0,40,20,20,3443.0,0.355029264516537
8,8.0,0.0,120,42700.0,355.8333333333333,12.805555555555555,2.4499305555555555,3.1663888888888883,3.1400247539525075,45000.0,11.833333333333334,4.758333333333334,6.316666666666666,9.0,40,20,20,2300.0,0.3043519937008749
9,9.0,0.0,127,36308.0,285.8897637795276,12.518693037386077,2.6609213218426446,3.7036394072788146,3.069647335984015,45000.0,11.968503937007874,4.251968503937008,5.929133858267717,9.0,40,20,20,8692.0,0.3346156030272988
10,10.0,0.0,123,40656.0,330.5365853658537,14.107211316015599,2.31304117919228,3.7594024720735013,2.3825722063121852,45000.0,12.747967479674797,4.455284552845528,5.8861788617886175,6.5,40,20,20,4344.0,0.32179881292518603
11,11.0,0.0,137,42443.0,309.8029197080292,13.210932921306409,2.613351803505781,4.388832649581757,2.822230724566453,45000.0,11.715328467153284,4.45985401459854,6.072992700729927,9.0,40,20,20,2557.0,0.33922931207981105
12,12.0,0.0,102,39910.0,391.27450980392155,12.39302191464821,2.750192233756247,3.8166089965397916,2.622994267423745,45000.0,12.382352941176471,4.931372549019608,6.352941176470588,9.0,40,20,20,5090.0,0.30936959751338206
13,13.0,0.0,122,39498.0,323.75409836065575,13.123891427035746,2.937919914001612,4.115022843321689,2.863210294150805,45000.0,11.39344262295082,4.524590163934426,6.180327868852459,8.5,40,20,20,5502.0,0.34167229497607604
14,14.0,0.0,126,44073.0,349.7857142857143,13.713277903754097,2.8667170571932483,4.113945578231292,1.88213985949213,45000.0,11.968253968253968,4.634920634920635,6.071428571428571,7.5,40,20,20,927.0,0.33626166075822184
15,15.0,0.0,107,38360.0,358.50467289719626,11.329897807668791,3.16953445715783,3.893615162896323,2.7820929582419045,45000.0,12.841121495327103,4.728971962616822,5.775700934579439,7.5,40,20,20,6640.0,0.32674631554078376
16,16.0,0.0,101,36638.0,362.7524752475247,13.286736594451524,2.239780413684933,3.513577100284286,1.6470830357434614,45000.0,12.01980198019802,4.673267326732673,6.346534653465347,7.0,40,20,20,8362.0,0.30628442439555265
17,17.0,0.0,128,39222.0,306.421875,15.94378662109375,2.845458984375,3.53753662109375,3.6359393545829786,45000.0,11.9609375,4.328125,6.0390625,9.0,40,20,20,5778.0,0.34500663668749315
18,18.0,0.0,83,28190.0,339.6385542168675,9.599070982726085,2.7310204674118164,2.813761068369865,2.463269962071053,45000.0,12.518072289156626,4.530120481927711,5.867469879518072,8.5,40,20,20,16810.0,0.2993950804777498
19,19.0,0.0,86,30979.0,360.22093023255815,15.219172525689558,2.9313142239048138,4.308409951325041,2.7047887961746806,45000.0,12.267441860465116,4.372093023255814,6.686046511627907,8.0,40,20,20,14021.0,0.3400193051337261
20,20.0,0.0,120,40000.0,333.3333333333333,11.966041666666664,2.991041666666667,4.833055555555556,2.5986637692113885,45000.0,11.725,4.775,6.016666666666667,9.0,40,20,20,5000.0,0.3408690533306353
21,21.0,0.0,83,28585.0,344.3975903614458,11.574974597183918,2.8947597619393233,3.793874292350123,2.215945738531538,45000.0,11.481927710843374,4.855421686746988,5.963855421686747,8.5,40,20,20,16415.0,0.3244400534115357
22,22.0,0.0,81,26972.0,332.98765432098764,11.105928974241731,2.3981100442005787,3.394909312604786,2.2630541480423902,45000.0,12.17283950617284,4.506172839506172,5.987654320987654,7.5,40,20,20,18028.0,0.3083830569111561
23,23.0,0.0,113,36772.0,325.4159292035398,15.0884172605529,2.567624716109327,3.354843762236668,3.533896919250118,45000.0,12.008849557522124,4.469026548672566,6.185840707964601,9.0,40,20,20,8228.0,0.3260372625684837
24,24.0,0.0,77,28008.0,363.7402597402597,15.730139989880248,2.9775678866587962,3.822229718333614,3.2597066840454065,45000.0,12.337662337662337,4.7272727272727275,6.246753246753247,8.5,40,20,20,16992.0,0.33315290224034605
25,25.0,0.0,127,43099.0,339.3622047244094,16.554033108066218,2.7094054188108365,3.4728749457498904,2.4996027605660656,45000.0,11.929133858267717,4.6141732283464565,6.354330708661418,8.0,40,20,20,1901.0,0.33035908197059866
26,26.0,0.0,91,30423.0,334.31868131868134,18.263736263736263,2.7247916918246586,3.793261683371573,1.8534747205648754,45000.0,12.0,4.021978021978022,6.252747252747253,7.5,40,20,20,14577.0,0.35934549394547605
27,27.0,0.0,74,26428.0,357.13513513513516,13.539810080350623,3.2622352081811536,4.511504747991235,2.574734019734019,45000.0,12.027027027027026,4.621621621621622,6.3108108108108105,9.0,40,20,20,18572.0,0.3444420682083793
28,28.0,0.0,104,34177.0,328.625,12.443417159763312,3.2876294378698225,3.3014053254437865,3.1686320546154856,45000.0,11.865384615384615,4.528846153846154,6.211538461538462,8.5,40,20,20,10823.0,0.3300582091105581
29,29.0,0.0,128,39095.0,305.4296875,10.488037109375,2.798583984375,3.96875,2.1886343183106574,45000.0,10.890625,4.671875,6.0,9.0,40,20,20,5905.0,0.3291583362365924
30,30.0,0.0,156,39045.0,250.28846153846155,11.63198553583169,2.8610700197238654,3.112549309664694,3.006897456769252,45000.0,10.782051282051283,4.173076923076923,5.596153846153846,9.0,40,20,20,5955.0,0.3456360205975855
31,31.0,0.0,112,37473.0,334.58035714285717,13.968032525510207,3.3519610969387754,2.8060427295918373,3.5056938081354994,45000.0,12.151785714285714,4.651785714285714,5.919642857142857,9.0,40,20,20,7527.0,0.32803757843510684
32,32.0,0.0,126,37297.0,296.0079365079365,13.843852355757116,2.9519400352733687,3.9891660367850847,2.5534072540790906,45000.0,11.76984126984127,4.388888888888889,5.650793650793651,8.5,40,20,20,7703.0,0.35368262254817223
33,33.0,0.0,108,37907.0,350.99074074074076,16.317129629629626,2.809585048010974,5.107938957475995,2.4731082381512284,45000.0,11.916666666666666,4.62037037037037,6.175925925925926,9.0,40,20,20,7093.0,0.3559015092749116
34,34.0,0.0,121,42057.0,347.57851239669424,14.751997814356944,3.0082644628099175,4.180725360289598,3.7903984849181795,45000.0,13.008264462809917,4.363636363636363,6.033057851239669,9.0,40,20,20,2943.0,0.343882910062737
35,35.0,0.0,99,32357.0,326.83838383838383,12.66850321395776,2.7415569839812264,4.6191204979083755,3.034800916931748,45000.0,11.909090909090908,4.616161616161616,5.8686868686868685,9.0,40,20,20,12643.0,0.3412590022382047
36,36.0,0.0,122,39818.0,326.37704918032784,14.505778016662187,3.1554017737167435,3.925288900833109,3.108453025391829,45000.0,12.049180327868852,4.713114754098361,5.672131147540983,9.0,40,20,20,5182.0,0.3474261514837837
37,37.0,0.0,96,28248.0,294.25,14.585828993055555,2.3922526041666665,4.769097222222221,3.4782966568788978,45000.0,11.635416666666666,4.34375,6.041666666666667,8.5,40,20,20,16752.0,0.34858921899008616
38,38.0,0.0,98,33264.0,339.42857142857144,14.377446897126196,2.7142857142857144,4.209496043315284,3.3152094271000085,45000.0,11.989795918367347,4.571428571428571,6.122448979591836,9.0,40,20,20,11736.0,0.3372511516079282
39,39.0,0.0,106,33829.0,319.14150943396226,14.12824848700605,2.9825560697757214,4.871484514061944,4.027806071995665,45000.0,12.179245283018869,4.132075471698113,6.3584905660377355,9.0,40,20,20,11171.0,0.35789635541882325
40,40.0,0.0,117,41533.0,354.982905982906,12.09993425378041,2.2460369639856816,4.307400102271897,1.5581416712592941,45000.0,11.615384615384615,4.957264957264957,5.982905982905983,7.0,40,20,20,3467.0,0.3162285623536108
41,41.0,0.0,87,27267.0,313.41379310344826,13.547364248910027,3.1948738274540887,4.68754128682785,4.103293573650008,45000.0,11.310344827586206,4.64367816091954,6.045977011494253,9.0,40,20,20,17733.0,0.3561472787237514
42,42.0,0.0,101,29463.0,291.71287128712873,16.158023723164394,3.6033722184099592,2.5381825311244,4.4322309226275225,45000.0,11.98019801980198,4.6138613861386135,5.405940594059406,9.0,40,20,20,15537.0,0.3472200747649295
43,43.0,0.0,147,42973.0,292.3333333333333,14.653986764773933,3.1348974964135308,3.8548752834467117,3.859305716239633,45000.0,11.435374149659864,4.299319727891157,6.0476190476190474,9.0,40,20,20,2027.0,0.35707786413763226
44,44.0,0.0,126,39441.0,313.0238095238095,15.013605442176871,2.8039808515998987,3.0096371882086164,2.9250438803219283,45000.0,11.714285714285714,4.4603174603174605,5.785714285714286,8.5,40,20,20,5559.0,0.3353471522459852
45,45.0,0.0,104,37881.0,364.24038461538464,12.397836538461538,2.5636094674556213,3.832840236686391,3.3064838183794225,45000.0,12.125,4.884615384615385,6.384615384615385,9.0,40,20,20,7119.0,0.3082746762151805
46,46.0,0.0,126,40342.0,320.1746031746032,16.240677752582513,3.2023809523809526,3.8098387503149405,3.8683716304191953,45000.0,12.23015873015873,4.5,5.912698412698413,9.0,40,20,20,4658.0,0.3524329539378604
47,47.0,0.0,145,44455.0,306.58620689655174,14.479714625445897,2.855457788347206,3.779500594530321,3.5022524367654313,45000.0,12.055172413793104,4.537931034482758,5.76551724137931,9.0,40,20,20,545.0,0.3417394689356829
48,48.0,0.0,130,42961.0,330.46923076923076,14.585562130177514,2.950828402366864,3.8284615384615384,2.717628958190771,45000.0,11.553846153846154,4.838461538461538,5.9,7.5,40,20,20,2039.0,0.33907096178587515
49,49.0,0.0,122,41266.0,338.24590163934425,14.63108035474335,2.918637463047568,4.582975006718624,2.7386210351739,45000.0,11.991803278688524,4.729508196721311,5.745901639344262,9.0,40,20,20,3734.0,0.3509237800101858
50,50.0,0.0,94,27859.0,296.3723404255319,13.433793571751922,2.4146672702580347,3.030330466274331,2.2260754935745237,45000.0,11.329787234042554,4.574468085106383,5.76595744680851,7.5,40,20,20,17141.0,0.3217012841554228
51,51.0,0.0,87,30502.0,350.5977011494253,12.685955872638393,3.09789932619897,4.169110846875413,3.6468257263710524,45000.0,12.195402298850574,4.551724137931035,6.390804597701149,9.0,40,20,20,14498.0,0.3327458191004967
52,52.0,0.0,150,44164.0,294.4266666666667,13.489999999999998,3.0072888888888882,4.746488888888889,4.228942424036282,45000.0,11.9,4.293333333333333,5.986666666666666,9.0,40,20,20,836.0,0.3588262054264542
53,53.0,0.0,123,43187.0,351.1138211382114,11.25613061008659,2.7810165906537114,3.6745323550796485,1.8241231583738882,45000.0,12.211382113821138,4.821138211382114,5.983739837398374,7.0,40,20,20,1813.0,0.3136663117762668
54,54.0,0.0,90,28673.0,318.5888888888889,15.257283950617287,2.448024691358024,3.255432098765432,3.4145172034657487,45000.0,12.177777777777777,4.455555555555556,5.788888888888889,9.0,40,20,20,16327.0,0.32786460341514156
55,55.0,0.0,115,37428.0,325.46086956521737,12.51085066162571,2.7841209829867677,4.386086956521739,2.3272037258507687,45000.0,11.504347826086956,4.739130434782608,6.2,8.5,40,20,20,7572.0,0.33244275938116497
56,56.0,0.0,101,33538.0,332.05940594059405,13.749240270561707,2.9195176943436922,4.338006077835506,3.757757897329437,45000.0,12.287128712871286,4.346534653465347,6.1683168316831685,8.5,40,20,20,11462.0,0.34418216190809575
57,57.0,0.0,110,38616.0,351.05454545454546,13.028181818181817,2.628842975206612,3.6933057851239672,2.8300260213451773,45000.0,12.3,4.6454545454545455,6.081818181818182,9.0,40,20,20,6384.0,0.3194884955758741
58,58.0,0.0,142,43620.0,307.1830985915493,13.826671295377901,2.4604741122793095,3.879785756794287,3.4500506999070217,45000.0,12.471830985915492,4.471830985915493,5.563380281690141,9.0,40,20,20,1380.0,0.33432247943485827
59,59.0,0.0,133,42557.0,319.97744360902254,14.185991294024534,3.4225790039007284,4.234156820622986,3.541872991644884,45000.0,12.31578947368421,4.518796992481203,5.714285714285714,9.0,40,20,20,2443.0,0.3584418647339847
60,60.0,0.0,101,33857.0,335.2178217821782,15.043819233408488,3.2816390549946086,4.445642584060387,3.127558999484511,45000.0,12.188118811881187,4.633663366336633,5.900990099009901,9.0,40,20,20,11143.0,0.3554961221822143
61,61.0,0.0,119,39010.0,327.8151260504202,11.944495445236917,2.732010451239319,3.8001553562601518,2.132905909862945,45000.0,12.445378151260504,4.697478991596639,5.6722689075630255,9.0,40,20,20,5990.0,0.3244123132564428
62,62.0,0.0,95,33392.0,351.4947368421053,14.577950138504157,2.965540166204987,3.3823822714681455,3.5575901319715326,45000.0,13.031578947368422,4.515789473684211,5.91578947368421,9.0,40,20,20,11608.0,0.328406082165716
63,63.0,0.0,121,36262.0,299.68595041322317,11.68499419438563,3.193634314595997,3.59483641827744,3.28564629489981,45000.0,12.132231404958677,4.322314049586777,5.776859504132231,8.5,40,20,20,8738.0,0.3411387719657446
64,64.0,0.0,97,32675.0,336.8556701030928,14.721224359655649,2.4342650653629505,3.7887129344244874,2.4440267014092987,45000.0,12.02061855670103,4.536082474226804,6.412371134020619,9.0,40,20,20,12325.0,0.32223030802042446
65,65.0,0.0,128,38946.0,304.265625,13.62298583984375,3.70159912109375,3.5927734375,3.5538051250570213,45000.0,11.3671875,4.4609375,6.21875,9.0,40,20,20,6054.0,0.35359586372203583
66,66.0,0.0,142,41002.0,288.7464788732394,14.51641539377108,3.305346161475897,3.0726046419361244,3.354777536221127,45000.0,11.767605633802816,4.26056338028169,5.591549295774648,9.0,40,20,20,3998.0,0.35466012560637533
67,67.0,0.0,93,34191.0,367.64516129032256,15.525031795583306,2.3447797433229276,3.879523644351949,2.3234115553185473,45000.0,11.956989247311828,4.612903225806452,6.56989247311828,9.0,40,20,20,10809.0,0.32042739134394155
68,68.0,0.0,101,34940.0,345.94059405940595,11.514753455543573,2.509361827271836,3.969806881678267,3.509968404902725,45000.0,11.990099009900991,4.366336633663367,6.445544554455446,9.0,40,20,20,10060.0,0.3183093267048502
69,69.0,0.0,86,28303.0,329.1046511627907,13.992969172525688,2.6448080043266633,3.4878312601406165,3.4682154116829707,45000.0,12.534883720930232,4.523255813953488,5.976744186046512,9.0,40,20,20,16697.0,0.32347898256096225
70,70.0,0.0,108,35799.0,331.47222222222223,9.851508916323734,2.9667352537722906,3.161436899862826,2.944662890876516,45000.0,12.018518518518519,4.425925925925926,6.12037037037037,8.0,40,20,20,9201.0,0.3136116356189939
