orderid,·¢³µºÅ,if_loaded,sku_counts,total_skuvolume,sku_average_volume,sku_length_var,sku_width_var,sku_height_var,aspect_ratio_var,vehicle_capacity,sku_length_avg,sku_width_avg,sku_height_avg,max_asr,vehicle_length,vehicle_width,vehicle_height,spare_capacity,sku_concentration
0,0,0,16,43477,2717.3125,42.55859375,8.109375,14.234375,1.781835789871504,45000,24.0625,10.625,10.125,6.6,40,20,20,1523,0.30391998265291925
1,1,0,20,44165,2208.25,46.14,12.24,13.440000000000001,1.3360781114848757,45000,20.6,10.4,10.6,6.6,40,20,20,835,0.3373319318610148
2,2,0,11,36293,3299.3636363636365,43.17355371900826,10.148760330578511,7.867768595041321,2.5487522149537822,45000,28.90909090909091,9.181818181818182,12.636363636363637,5.666666666666667,40,20,20,8707,0.2654068177484596
3,3,0,12,41060,3421.6666666666665,59.083333333333336,5.076388888888889,18.972222222222225,1.2188801306555297,45000,24.5,9.416666666666666,13.833333333333334,4.714285714285714,40,20,20,3940,0.28929126055693083
4,4,0,12,43578,3631.5,33.1875,8.472222222222221,12.222222222222221,0.39341984328248064,45000,20.75,11.166666666666666,14.666666666666666,3.857142857142857,40,20,20,1422,0.25888595236683043
5,5,0,14,40836,2916.8571428571427,37.10204081632653,14.918367346938778,13.25,2.113277453838678,45000,28.428571428571427,10.285714285714286,9.5,5.833333333333333,40,20,20,4164,0.3243130307372652
6,6,0,16,40664,2541.5,45.02734375,5.359375,18.484375,2.2586806576732665,45000,27.8125,10.125,9.875,5.666666666666667,40,20,20,4336,0.30176303018826006
7,7,0,16,38491,2405.6875,67.984375,15.4375,4.52734375,2.8458504231770836,45000,24.625,8.25,12.8125,6.2,40,20,20,6509,0.3257170929760456
8,8,0,12,37413,3117.75,70.5,11.576388888888888,13.972222222222223,3.191894036421153,45000,26.0,8.083333333333334,12.833333333333334,7.0,40,20,20,7587,0.3450414912969253
9,9,1,13,29209,2246.846153846154,52.3905325443787,4.591715976331361,15.100591715976332,1.0735659704504668,45000,21.615384615384617,7.846153846153846,12.23076923076923,4.4,40,20,20,15791,0.30856159928861776
10,10,0,12,43514,3626.1666666666665,23.972222222222214,21.75,11.888888888888888,1.9546541950113374,45000,26.833333333333332,10.5,12.666666666666666,5.6,40,20,20,1486,0.2996128431359942
11,11,0,16,42978,2686.125,78.71484375,8.24609375,8.58984375,4.7634869845577885,45000,22.6875,9.4375,13.3125,7.2,40,20,20,2022,0.3051637803059556
12,12,0,11,38046,3458.7272727272725,50.23140495867769,15.173553719008265,18.247933884297517,1.698206555349413,45000,26.636363636363637,10.090909090909092,13.545454545454545,5.666666666666667,40,20,20,6954,0.3224894325073984
13,13,0,15,41384,2758.9333333333334,11.58222222222222,6.4,8.96,2.7401186657338172,45000,30.133333333333333,8.0,11.2,7.2,40,20,20,3616,0.23214308824220312
14,14,0,26,42332,1628.1538461538462,54.309171597633124,1.6523668639053257,19.936390532544376,2.08307083414398,45000,22.807692307692307,6.961538461538462,10.423076923076923,6.0,40,20,20,2668,0.31204707119904546
15,15,0,19,42016,2211.3684210526317,21.62880886426593,5.0747922437673125,6.875346260387811,0.5121302048304363,45000,19.94736842105263,9.368421052631579,11.578947368421053,3.7142857142857144,40,20,20,2984,0.23335348945707599
16,16,0,12,43923,3660.25,23.88888888888889,8.916666666666666,16.222222222222218,2.0432158430956506,45000,29.666666666666668,9.5,12.666666666666666,5.833333333333333,40,20,20,1077,0.26568347366278827
17,17,0,15,42946,2863.0666666666666,35.306666666666665,11.466666666666667,4.48888888888889,2.042095508459794,45000,23.6,9.0,13.333333333333334,6.8,40,20,20,2054,0.26230976434138303
18,18,0,12,42044,3503.6666666666665,53.72222222222223,7.25,16.90972222222222,2.11457727947146,45000,28.666666666666668,9.5,12.083333333333334,6.0,40,20,20,2956,0.2931422717740128
19,19,0,18,42975,2387.5,68.49691358024693,16.209876543209877,11.027777777777779,1.3579565416701658,45000,23.055555555555557,8.88888888888889,12.5,6.0,40,20,20,2025,0.35919266945617906
20,20,0,18,44718,2484.3333333333335,17.79320987654321,8.570987654320987,12.916666666666666,0.6257808762508205,45000,23.38888888888889,9.61111111111111,10.166666666666666,5.2,40,20,20,282,0.2794882797768537
21,21,0,17,43194,2540.823529411765,58.4083044982699,9.467128027681662,9.536332179930797,1.9574243913251574,45000,26.058823529411764,8.941176470588236,11.411764705882353,6.0,40,20,20,1806,0.30266997207412505
22,22,1,4,22182,5545.5,65.6875,1.1875,6.75,0.39348025711662077,45000,28.75,12.25,15.5,3.0,40,20,20,22818,0.17949347366394622
23,23,0,9,38661,4295.666666666667,78.24691358024693,14.666666666666666,4.617283950617284,6.044244691584759,45000,29.444444444444443,10.333333333333334,14.777777777777779,7.2,40,20,20,6339,0.27214817604601743
24,24,0,16,43408,2713.0,29.359375,11.71484375,9.15234375,0.6713411458333334,45000,24.875,9.6875,11.8125,4.0,40,20,20,1592,0.2757484988751433
25,25,0,16,44679,2792.4375,20.484375,11.484375,15.08984375,1.076804256424792,45000,29.125,9.375,9.6875,5.8,40,20,20,321,0.30595459353801896
26,26,0,18,41468,2303.777777777778,46.90432098765432,13.978395061728396,12.941358024691358,1.6693506400961906,45000,21.38888888888889,10.277777777777779,11.055555555555555,4.6,40,20,20,3532,0.3364545646514301
27,27,0,13,41901,3223.153846153846,21.313609467455617,9.514792899408285,1.6686390532544375,1.8324841113302648,45000,24.384615384615383,11.153846153846153,12.153846153846153,7.0,40,20,20,3099,0.19072059248503156
28,28,0,18,43342,2407.8888888888887,23.432098765432094,7.5802469135802495,10.666666666666666,1.7288619595071681,45000,25.11111111111111,9.555555555555555,10.666666666666666,5.833333333333333,40,20,20,1658,0.26236149777300577
29,29,0,13,44349,3411.4615384615386,33.289940828402365,9.479289940828403,20.485207100591715,0.24122450951210944,45000,22.307692307692307,10.461538461538462,13.23076923076923,3.0,40,20,20,651,0.2983436400546789
30,30,0,14,43269,3090.6428571428573,64.77551020408164,7.025510204081633,10.515306122448981,2.338387691853601,45000,26.285714285714285,9.785714285714286,12.357142857142858,6.0,40,20,20,1731,0.27982157706317556
31,31,0,11,31398,2854.3636363636365,60.95867768595041,8.62809917355372,10.611570247933885,1.124295454584174,45000,26.636363636363637,9.909090909090908,10.545454545454545,5.0,40,20,20,13602,0.2994846759069248
32,32,0,16,36889,2305.5625,21.8125,4.875,6.99609375,0.7344231047453704,45000,20.75,11.0,10.4375,5.5,40,20,20,8111,0.22640502407899718
33,33,0,18,42913,2384.0555555555557,42.01543209876543,9.385802469135804,18.23765432098765,0.2637999399862827,45000,21.38888888888889,8.944444444444445,11.38888888888889,3.3333333333333335,40,20,20,2087,0.34018139891190696
34,34,0,21,42193,2009.1904761904761,43.514739229024954,8.916099773242632,14.181405895691606,2.0874228068263663,45000,23.761904761904763,8.476190476190476,11.095238095238095,7.0,40,20,20,2807,0.32309963603188613
35,35,0,16,38886,2430.375,55.71484375,12.8125,16.71484375,2.0867917605898376,45000,22.6875,8.75,12.6875,5.166666666666667,40,20,20,6114,0.35343986320252224
36,36,0,13,43398,3338.3076923076924,17.254437869822485,6.284023668639053,11.325443786982248,1.188400935653683,45000,30.76923076923077,9.153846153846153,12.461538461538462,5.166666666666667,40,20,20,1602,0.22630297606994876
37,37,1,11,30808,2800.7272727272725,27.272727272727273,6.446280991735537,13.834710743801653,1.3753829810160978,45000,26.0,8.909090909090908,12.272727272727273,5.166666666666667,40,20,20,14192,0.26297134295388713
38,38,0,14,40949,2924.9285714285716,22.061224489795922,7.0,9.51530612244898,2.0615832054978624,45000,24.285714285714285,10.0,12.642857142857142,7.0,40,20,20,4051,0.23398838353417006
